Seconds,Temperature
0,150
1,150
2,150
3,150
4,168
5,190
6,201
7,207
8,209
9,201
10,190
11,179
12,173
13,170
14,171
15,175
16,179
17,184
18,189
19,193
20,197
21,200
22,201
23,199
24,197
25,195
26,193
27,192
28,199
29,208
30,221
31,232
32,239
33,245
34,246
35,245
36,242
37,237
38,232
39,229
40,227
41,227
42,230
43,234
44,235
45,235
46,235
47,234
48,234
49,233
50,232
51,231
52,237
53,244
54,252
55,258
56,262
57,263
58,263
59,263
60,262
61,262
62,261
63,261
64,262
65,263
66,264
67,264
68,264
69,263
70,262
71,262
72,262
73,262
74,261
75,261
76,262
77,263
78,270
79,273
80,279
81,282
82,282
83,281
84,280
85,278
86,275
87,273
88,275
89,278
90,279
91,278
92,276
93,275
94,276
95,280
96,281
97,280
98,278
99,276
100,278
101,280
102,285
103,292
104,297
105,301
106,301
107,298
108,294
109,291
110,291
111,293
112,296
113,299
114,302
115,305
116,305
117,303
118,302
119,300
120,299
121,296
122,297
123,298
124,300
125,302
126,301
127,298
128,299
129,304
130,310
131,316
132,321
133,323
134,320
135,316
136,313
137,313
138,312
139,313
140,314
141,315
142,315
143,316
144,317
145,318
146,318
147,319
148,317
149,315
150,314
151,314
152,314
153,315
154,316
155,317
156,318
157,318
158,318
159,318
160,318
161,318
162,318
163,318
164,319
165,319
166,320
167,320
168,320
169,321
170,321
171,321
172,321
173,321
174,323
175,326
176,329
177,330
178,331
179,334
180,337
181,340
182,341
183,341
184,340
185,338
186,336
187,333
188,332
189,330
190,330
191,332
192,335
193,339
194,340
195,340
196,338
197,336
198,333
199,332
200,331
201,332
202,336
203,344
204,348
205,351
206,353
207,354
208,354
209,353
210,350
211,347
212,345
213,342
214,342
215,343
216,346
217,349
218,351
219,354
220,354
221,353
222,351
223,348
224,345
225,342
226,340
227,341
228,345
229,352
230,357
231,361
232,361
233,359
234,357
235,354
236,353
237,353
238,355
239,356
240,358
241,360
242,362
243,363
244,363
245,361
246,359
247,356
248,354
249,354
250,356
251,358
252,360
253,362
254,362
255,361
256,358
257,358
258,358
259,358
260,359
261,360
262,361
263,362
264,362
265,363
266,364
267,365
268,367
269,368
270,368
271,367
272,363
273,361
274,357
275,357
276,357
277,358
278,359
279,360
280,361
281,361
282,363
283,364
284,366
285,368
286,370
287,371
288,372
289,373
290,374
291,375
292,375
293,376
294,375
295,372
296,369
297,367
298,367
299,367
300,368
301,368
302,369
303,370
304,370
305,371
306,371
307,371
308,371
309,371
310,372
311,373
312,375
313,375
314,376
315,376
316,376
317,375
318,375
319,375
320,375
321,375
322,375
323,375
324,375
325,376
326,378
327,378
328,378
329,378
330,378
331,377
332,376
333,376
334,375
335,376
336,376
337,377
338,378
339,378
340,380
341,380
342,380
343,380
344,380
345,380
346,379
